MR,Citation
MR4181809,"GAP Group: GAP – Groups, Algorithms, and Programming. A System for Computational Discrete Algebra. Version 4.7.4. Available at http://www.gap-system.org (2014)."
MR2271815,"The GAP Group (2006) GAP-Groups, Algorithms, and Programming, Version 4.4 (http://www.gap-system.org)"
MR2558743,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2006, http://www.gap-system.org."
MR1840389,"The GAP Group (1997). GAP—Groups, Algorithms and Programming, Version 4, Lehrstuhl D f Mathematik, Rheinisch Westfälische Technisch Hochschule, Aachen, Germany and School of Mathematical and Computational Sciences, U. St. Andrews Scotland."
MR2606578,"The GAP Groups, Gap - groups, algorithms and programming, version 4, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany and School of Mathematical and Computational Sciences, Univ. St. Andrews, Scotland, 1997."
MR2606578,"I, Miyamoto, An improvement of GAP Normalizer function for permutation groups, in: Proceedings of the 2006 International Symposium on Symbolic and Algebraic Computation, 2006, 234–238. 
MR2289125"
MR2606578,"L. H. Soicher, GAP package GRAPE-GRaph Algorithms using PErmutation groups, http://www.gap-system.org/Packages/grape.html."
MR3554858,"G. Ellis: HAP—Homological algebra programming, a GAP package, ver. 1.10.12, (2013), http://hamilton.nuigalway.ie/Hap/www."
MR3554858,"G. Gamble, W. Nickel and E.A. O'Brien: ANUPQ—ANU p-Quotient, a GAP package, ver. 3.0, (2006), http://gap-system.github.io/anupq/."
MR3554858,"The GAP Group: GAP—Groups, algorithms, and programming, ver. 4.6.5 (2013), http://www.gap-system.org."
MR2899936,"Ellis, G. (2010). HAP-Homological Algebra Programming. A refreed GAP 4 package (GAP Group 2008). Available at http://hamilton.nuigalway.ie/Hap/www. 
MR2478414"
MR2899936,"The GAP Group. (2008). GAP-Groups, Algorithms and Programming. Version 4.4. Available at: http://www.gap-system.org."
MR3248691,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.4.12, (2008), (http://www.gap-system.org/)."
MR3385752,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.7.5, 2014, (http://www.gap-system.org/)."
MR3508661,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.4.12, www.gap-system.org, 2008."
MR2228516,"The GAP group, GAP-Groups, Algorithms, and Programming, Version 4.3, Aachen, St Andrews (2002) http://www.gap-system.org."
MR2441479,"GAP, Groups, Algorithms and Programming, Version 4.3, 2002 (http://www.gap-system.org/)."
MR3567881,"The GAP Group, GAP-Groups, Algorithms and Programming. Version 4.7.5, 2014, http://www.gap-system.org/."
MR2845566,"GAP. (2009). Groups, Algorithms, and Programming. Version 4.4.12. Available at www.gap-system.org."
MR3120054,"Groups, Algorithms, and Programming (GAP), Version 4.4.12. http://www.gap-system.org (2009)"
MR3770014,"The GAP Group: GAP — Groups, Algorithms, and Programming. Version 4.8.7, released on 24 March 2017, http://www.gap-system.org."
MR3918480,"The GAP Group: GAP — Groups, Algorithms, and Programming. Ver. GAP 4.9.2 released on 4 July 2018. http://www.gap-system.org."
MR3898096,"GAP–Groups, Algorithms, and Programming, Version 4.8.9 (2017); http://www.gap-system.org."
MR3975977,"The GAP Group: GAP — Groups, Algorithms, and Programming (2018), Version 4.9.2. (Released on 4 July Available at: http://www.gap-system.org."
MR4150736,"GAP. (2019). Groups, Algorithms, and Programming, Version 4.10.2. www.gap-system.org."
MR4056745,"The GAP Group: GAP — Groups, Algorithms, and Programming, Ver. GAP 4.9.2 released on 4 July 2018, http://www.gap-system.org."
MR4141385,"The GAP Group: GAP – Groups, Algorithms, and Programming. Ver. GAP 4.9.2 released on 4 July 2018. http://www.gap-system.org."
MR2301701,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.3, http://www.gap-system.org, 2002."
MR2419764,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.3 (2002), http://www.gap-system.org, 2002."
MR2261802,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3. http://www.gap-system.org, 2002."
MR2261802,"L.H. Soicher, The GRAPE package for GAP. http://www.maths.qmul.ac.uk/$\sim$leonard/grape/."
MR2310743,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, http://www.gap-system.org, 2002."
MR2610280,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3 (2002), http://www.gap-system.org."
MR2889145,"The GAP Group, GAP–Groups, algorithms, and programming, Version 4.3, http://www.gap-system.org+, 2002."
MR2945978,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3 (2002), http://www.gap-system.org."
MR2945978,"L. H. Soicher, The GRAPE package for GAP, http://www.maths.qmul.ac.uk/$\sim$leonard/grape/."
MR2466196,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3 (2002): http://www.gap-system.org."
MR2466196,"L. H. Soicher, The GRAPE package for GAP: http://www.maths.qmul.ac.uk/$\sim$leonard/grape/."
MR3165650,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.3 (2002), (http://www.gap-system.org)."
MR3226818,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4 (2011). http://www.gap-system.org"
MR4131557,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4 (2011). http://www.gapsystem.org"
MR2337236,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.3, http://www.gap-system.org, 2002."
MR2396864,"The GAP Group, `Gap - groups, algorithms, and programming, version 4.3', http://www.gapsystem.org, 2002."
MR1958966,"M. Schönert et al., GAP: Groups, Algorithms and Programming, Lehrstuhl D für Mathematik, RWTH Aachen, Germany, version 3 release 4.4 (1997)."
MR2146388,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2146388,"G. Pfeiffer, Character tables of Weyl Groups in GAP, Lehrstuhl D Für Mathematik, RWTH, Aachen, Templergraben 64, D-5100, Aachen, Germany."
MR2209789,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3; 2002, (http://www.gap-system.org)."
MR2209789,"G. Pfeiffer, Character tables of Weyl Groups in GAP, Lehrstuhl D Für Mathematik, RWTH, Aachen, Templergraben 64, D-5100, Aachen, Germany."
MR3144163,"GAP Group: GAP - Groups, Algorithms and Programming, Version 4.4. Aachen, St Andrews 2008. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR3204610,"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.2, Aachen, St Andrews, 2000, (http://www-gap.dcs.st-and.ac.uk/~gap)."
MR3620981,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.3, 2002. (http://www.gap-system.org)."
MR3613284,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.6, 2014, available at http://www.gap-system.org"
MR2243244,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.2 (2002). http://www.gap-system.org."
MR2162128,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3, 2002, http://www.gap-system.org."
MR2290906,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR2429351,"B. Eick and W. Nickel. Polycyclic—computing with polycyclic groups. A refereed GAP 4 package, Version 2.1 (2006)."
MR2429351,"The GAP Group. GAP—Groups, algorithms, programming, Version 4.4 (2005). http://www.gap-system.org."
MR2429351,"W. Nickel. NQ—Nilpotent quotients of finitely presented groups. A refereed GAP 4 package, Version 2.2 (2007)."
MR2447151,"The GAP Group, GAP - Groups, algorithms, and programming, Version 4.4.10 (2007) (http://www.gap-system.org)."
MR2400746,"B. Eick, W. Nickel, Polycyclic-computing with polycyclic groups, a refereed GAP 4 package, Version 2.2, 2007."
MR2400746,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4; 2005. http://www.gap-system.org."
MR2837133,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008 (http://www.gap-system.org)."
MR2655294,"D Holt. KBMAG - Knuth-Bendix on Monoids and Automatic Groups, 2009. A $\ssf{GAP}$ Package, see [10]."
MR2655294,"W. Nickel, $nq$ - Nilpotent Quotients of Finitely Presented Groups, 2003. A $\ssf{GAP}$ Package, see [10]."
MR2655294,"C. Sievers. FGA - Free Group Algorithms, 2005. A $\ssf{GAP}$ Package, see [10]."
MR2655294,"The $\ssf{GAP}$ Group. GAP - Groups, Algorithms, and Programming, Version 4.4, 2005. (http://www.gap-system.org)."
MR2999292,"P. Moravec, GAP code for computing the unramified brauer groups of finite solvable groups, www.fmf.unilj.si/moravec/b0g.g, 2010."
MR2999292,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gapsystem.org, 2008."
MR2233701,"Moreau (A.) - Calculs explicites dans une algébre de Lie semi-simple effectués avec GAP4, arXiv: math.RT/0503019, 2004."
MR2125533,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.3, 2002 http://www.gap-system.org."
MR2603001,"[GAP] The GAP group, `GAP—groups, algorithms and programming', http://www.gap-system.org."
MR3255006,"Cooperman: Gene. Parallel GAP/MPI (ParGAP/MPI), Version 1, College of Computer Science, Northeastern University http://www.ccs.neu.edu/home/gene/pargap.html (1999) 
MR1829475"
MR3255006,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org (2008)"
MR3505408,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.2, 2013, http://www.gap-system.org."
MR2325117,"Soicher, L. H. (2003), ""The Design Package for GAP,"" available at designtheory.org/software/gap\_design."
MR2662855,"GAP, Groups, Algorithms, Programming, a System for Computational Discrete Algebra, Release 4.3, 06 May 2002, URL: http://www.gap-system.org"
MR2415055,"GAP, Groups, Algorithms, Programming, a System for Computational Discrete Algebra, Release 4.3, 06 May 2002, http://www.gap- system.org."
MR2684094,"The GAP Group, Gap—Groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2005."
MR2802723,"The GAP Group. ""GAP: Groups, Algorithms, and Programming: A System for Computational Discrete Algebra."" Available at http://www.gapsystem.org. Version 4.4.11, 2008."
MR2303840,"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4, 2005. (http://www.gap-system.org)."
MR2478410,"B. Eick and W. Nickel. Polycyclic - Computing with polycyclic groups, 2002. A GAP Package, see [8]. 
MR1829476"
MR2478410,"Greg Gamble, Werner Nickel, and Eamonn O'Brien. ANUPQ - p-quotient, 2006. A GAP Package, see [8]."
MR2478410,"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4, 2005. (http://www.gap-system.org)."
MR2478410,"W. Nickel, nq - Nilpotent Quotients of Finitely Presented Groups, 2003. A GAP Package, see [8]."
MR3484144,"M. Delgado, P.A. García-Sánchez, J. Morais, NumericalSgps: a GAP package on numerical semigroups, http://www.gap-system.org/Packages/numericalsgps.html."
MR3291393,"Program GAP, www.gap-system.org/Manuals/doc/ref/chap71.html#X79BC08C6846718D9"
MR3266296,"Jean Michel, gap3-jm: a GAP3 distribution, http://www.math.jussieu.fr/$\sim$jmichel/gap3/."
MR1432368,"M. Schönert et al., ""GAP—Groups, Algorithms and Programming,"" manual, Lehrstuhl D für Mathematik, RWTH Aachen, 1994."
MR1458331,"M. Schönert et. al., GAP - Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch-Westfälische Techn. Hochschule, Aachen, Germany, fourth edition, 1994."
MR2255121,"The GAP Group, GAP-4.3—Groups, Algorithms and Programming, Aachen, St. Andrews, http://www-gap.dcs.st-and.ac.uk/gap/, 2003."
MR1779890,"The GAP Group: GAP—groups, algorithms, and programming, version 4.1, Lehrstuhl D für Mathematik, RWTH Aachen, and School of Mathematical and Computational Sciences, University of St. Andrews, 1999."
MR1916920,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2 (Aachen/St. Andrews, 2000); http://www.gap-system.org/. 18"
MR1987345,"M. Schönert et al., GAP—Groups, Algorithms, and Programming, Version 4.2, Manual, Lehrstuhl D für Mathematik, RWTH Aachen, 2000."
MR1995123,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews, 2000, http://www-gap.dcs.st-and.ac.uk/gap/."
MR2332616,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, Aachen, St Andrews, http://www-gap.dcs.st-and.ac.uk/$\sim$gap, 2002."
MR2331753,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR2331753,"J. Müller, M. Neunhöffer, F. Noeske, GAP-4 package ORB, http://www.math.rwth-aachen.de/$\sim$Max.Neunhoeffer/Computer/Software/Gap/orb.htm l, 2006."
MR2341720,"The GAP Group, GAP-4.3—Groups, Algorithms and Programming, Aachen, St. Andrews, 2003, http://www-gap.dcs.st-and.ac.uk/gap/."
MR2379937,"T. Breuer, `Multiplicity-free permutation characters in GAP II', Preprint, 2005, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/. 15"
MR2379937,"The GAP Group, `GAP—Groups, Algorithms, and Programming', version 4.4 (2006), http://www.gap-system.org. 16"
MR2379937,"J. Müller, M. Neunhöffer and F. Noeske, GAP-4 package ORB, in preparation, http://www.math.rwth-aachen.de/$\sim$Juergen.Mueller/. 16, 18"
MR2422321,"T. Breuer, Multiplicity-free permutation characters in GAP, part II, preprint, see also http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/doc/multfre2.pdf, 2005."
MR2422321,"T. Breuer, GAP Package CTblLib—The GAP Character Table Library, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/, 2004."
MR2422321,"The GAP Group, GAP—Algorithms, and Programming, Version 4.4, http://www.gap-system.org/, 2005."
MR2422321,"T. Merkwitz, G. Pfeiffer, GAP Data Library Tables of Marks, http://www.gap-system.org/Datalib/tom.html, 1997."
MR2609020,"The GAP Group, GAP–Groups, Algorithms, and Programming."
MR2609020,"GAP Reference manual, version 4.4.12, http://www.gap-system.org/$\sim$gap/Manuals/doc/ref/manual.pdf."
MR2407842,"The GAP Group, GAP-4—Groups, Algorithms and Programming, Version 4, http://www.gap-system.org/, 2005."
MR2104296,"The GAP Group, GAP - Groups, Algorithms and Programming. Version 4.3; 2002 (http://www.gap-system.org.)"
MR2515272,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.3, 2002 (http://www.gap-system.org)."
MR3114008,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12 (2008). URL http://www.gap-system.org."
MR3537826,"T. Breuer, GAP-package CTblLib—the GAP character table library, Version 1.2.2, http://www.gap-system.org/Packages/ctbllib.html, 2013."
MR3537826,"J. Michel, CHEVIE—development version of the GAP part of CHEVIE, http://webusers.imj-prg.fr/~jean.michel/chevie.html."
MR2836997,"The GAP Group, GAP-4.4 — Groups, Algorithms, and Programming, 2006 (http://www.gap-system.org)."
MR3928645,"The GAP Group, GAP–groups, algorithms, programming–asystemfor computational discrete algebra, version 4.8.6 (2016), Available at: http://www.gap-system.org"
MR3961807,"The GAP Group, GAP – groups, algorithms, and programming, version 4.8.8, https://www.gap-system.org, 2017."
MR2760698,"The GAP Group (1999). GAP-Groups, Algorithms, and Programming, Version 4.2, Lehrstuhl D fur Mathematik, RWTH Aachen and School of Mathematical and Computational Sciences, University of St. Andrews, 2000. Available at http://www.gap.dcs.st-and.ac.uk/$\sim$gap."
MR3828796,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.2 (2016), http://www.gap-system.org."
MR4136688,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.8.6 (2016)"
MR4136688,The GAP character Table Manual. https://www.gap-system.org/Manuals/pkg/ctbllib/doc/manual.pdf
MR1875728,"V. I. Mysovskikh, ""Investigation of subgroup embeddings by the computer algebra package GAP. Computer algebra in scientific computing,"" in: Proceedings of the Second Workshop CASC'99, Springer (1999), pp. 309–315. 
MR1729633"
MR1875728,"M. Schönert et al., GAP-Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, RWTH Aachen, fifth edition (1995)."
MR1875727,"M. Schönert et al., GAP-Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, RWTH, Aachen (1995)."
MR1757829,"V. I. Mysovskikh, ""A counterexample to the long-standing conjecture of Z. I. Borevich by GAP,"" in: Extended Abstracts of the Workshop CASC'98, St. Petersburg, April (1998), pp. 101–102."
MR1757829,"V. I. Mysovskikh, ""Investigation of subgroup embeddings by the computer algebra package GAP,"" in: Computer Algebra in Scientific Computing, Proceedings of the Second Workshop CASC'99, Springer (1999), pp. 309–315. 
MR1729633"
MR1757829,"M. Schönert et al., GAP-Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, RWTH, Aachen (1995)."
MR1757830,"V. I. Mysovskikh, ""Investigation of Subgroup Embeddings by the computer algebra package GAP,"" in: Computer Algebra in Scientific Computing. Proceedings of the 2nd Workshop CASC'99, Springer (1999), pp. 309–315. 
MR1729633"
MR1757830,"M. Schönert et al., GAP - Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, RWTH Aachen (1995)."
MR2659212,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2008."
MR3835579,"The GAP Group, GAP-groups, algorithms and programming, Version 4.4.12, http://www.gap-system.org/, 2008."
MR3431577,"`The GAP Group: GAP—Groups, Algorithms, and Programming', version 4.7.6, 2014, http://www.gap-system.org."
MR2552586,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12; 2008. http://www.gap-system.org."
MR2515813,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.9 ; 2006. http://www.gap-system.org."
MR2459358,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4. http://www.gap-system.org, 2004."
MR2459358,"G.P. Nagy, P. Vojtěchovský, LOOPS: Package for GAP, Version 0.99. http://www.math.du.edu/loops/, 2004."
MR2355056,"The GAP Group, 2006. GAP—Groups, Algorithms, and Programming, Version 4.4; Aachen, St Andrews (Visit http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR2355056,"Nagy, G.P., Vojtěchovský, P., 2007. LOOPS: Computing with quasigroups and loops in GAP, download at http://www.math.du.edu/loops. 
MR2379126"
MR3269010,"Cicalò S., de Graaf W.A., Schneider C., LieAlgDB–a GAP package, Version 2.1, November 2010, http://www.gap-system.org/Packages/liealgdb.html."
MR3205815,"GAP Group: GAP—Groups, Algorithms, and Programming, Version 4r5. University of St Andrews and RWTH Aachen (2012)."
MR3205815,"Soicher L.H.: The GRAPE package for GAP, Version 4.6.1. http://www.maths.qmul.ac.uk/$\sim$leonard/grape/ (2012). Accessed 11 July 2013."
MR3391529,"The GAP Group: GAP–Groups, Algorithms, and Programming, Version 4.4.12. http://www.gap-system.org (2008)."
MR3690519,"The GAP Group, GAP – Groups, Algorithms and Programming, Version 4.6.4, 2013, http://www.gap-system.org/."
MR3805718,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.6.4, 2013, http://www.gap-system.org/."
MR2945164,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR2945164,"Tomlib, Version 1.2.1, GAP package, 2011, http://schmidt.nuigalway.ie/tomlib."
MR3065337,"GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR2221127,"Schönert, M., others: GAP - Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik. RWTH Aachen, Germany, 3rd ed., (1993–1997)"
MR2144975,"The Gap Group, GAP: Groups, Algorithms, and Programming, Version 4.2, 2000; http://www.gap-system.org"
MR2628806,"The GAP group, GAP - groups, algorithms, and programming, Version 4.4, 2004, http://www.gap-system.org."
MR2520106,"The GAP group, GAP - groups, algorithms, and programming, Version 4.4, 2004, http://www.gap-system.org."
MR3210919,"The GAP group, GAP–Groups, Algorithms, and Programming, Version 4.7.4, http://www.gap-system.org, 2014."
MR3225128,"The GAP group, GAP—Groups, algorithms, and programming, version 4.7.4 (2014), http://www.gap-system.org."
MR3272370,"The GAP group, GAP—groups, algorithms, and programming, version 4.4, http://www.gap-system.org, 2004."
MR3614161,"The GAP Group, GAP — groups, algorithms, and programming, Version 4.8.6, http://www.gapsystem.org, 2016."
MR2980457,"The GAP group, GAP—Groups, algorithms, and programming, Version 4.4, 2004, http://www.gapsystem.org."
MR3092477,"The GAP group, GAP–groups, algorithms, and programming, 2004, Version 4.6.4. Available at http://www.gapsystem.org."
MR3806747,"The GAP group, $\ssf{GAP}$ - groups, algorithms, and programming, Version 4.4, http://www.gap-system.org, 2004."
MR3845766,"The GAP Group: GAP: Groups, Algorithms, and Programming, Version 4.8.7 (2017). http://www.gap-system.org"
MR3878665,"The GAP Group: GAP-groups, algorithms, and programming, version 4.8.6 (2016). http://www.gap-system.org"
MR3885165,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.4; 2004, http://www.gap-system.org."
MR3906179,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.10, https://www.gap-system.org, 2018."
MR3938313,"GAP Group. GAP Groups, Algorithms, and Programming, Version 4.8.6, (2016): http://www.gap-system.org."
MR4009430,"GAP Group, GAP—Groups, algorithms, and programming, version 4.4, 2004, http://www.gap-system.org."
MR4039695,"The GAP group: `{\ssf GAP}–groups, algorithms, and programming', Version 4.10.0, (2018). http://www.gap-system.org"
MR4155175,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.4; 2004, http://www.gap-system.org."
MR4102105,"The GAP group, GAP - Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2004."
MR4201484,"The GAP group, GAP - groups, algorithms, and programming, Version 4.10.0, http://www.gap-system.org, 2018."
MR4155421,"The GAP Group, GAP — Groups, Algorithms and Programming, Version 4.3 (2002), http://www.gap-system.org."
MR1806297,"M. Schönert et al., GAP: Groups, algorithms, and programming, 4th ed., Lehrstuhl D für Mathematik, RWTH Aachen, 1994. See http://www-gap.dcs.st-and.ac.uk/$\sim$gap."
MR3574443,"Laurent Bartholdi, FR, GAP package functionally recursive groups. http://laurentbartholdi.github.io/fr/chap0.html, 2014."
MR3574443,"Y. Muntyan and D. Savchuk. Autom Grp GAP package for computation in groups and semigroups generated by automata. http://www.gap-system.org/Packages/automgrp.html, 2014."
MR2794376,"The GAP Group. GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). www.gap-system.org."
MR2255451,"GAP Group, GAP—Groups, Algorithms, and Programming, 2002, http://www.gap-system.org."
MR3082483,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.9, 2006; current version available at http://www.gap-system.org."
MR2747149,"The GAP Group, Welcome to GAP – Groups, Algorithms and Programming: a system for computational discrete algebra. Version 1.9.6, URL www.gap-system.org/. – 2009-09-25"
MR2429999,"The GAP Group, GAP - Groups, Algorithms, and Programming, version 4.4.10 (2007), http://www.gap-system.org/. 253, 254, 275"
MR3205814,"GAP Group: GAP-Groups, Algorithms and Programming, Version 4.5.6. http://www.gap-system.org (2012). Accessed 5 July 2013."
MR3205814,"Neunhoeffer M., Praeger C.E.: GAP-readable code for sporadic neighbour-transitive codes in the Johnson graphs. http://www-groups.mcs.st-and.ac.uk/$\sim$neunhoef/Mathematics/neightrans.html (2013). Accessed 5 July 2013."
MR3205814,"Soicher L.H.: DESIGN package for GAP, version 1.6. http://www.gap-system.org/Packages/design.html (2011). Accessed 5 July 2013."
MR1458332,"Martin Schönert et al. (1997), GAP - Groups, Algorithms and Programming. Lehrstuhl D für Mathematik, RWTH Aachen."
MR1847194,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, (Aachen, St Andrews, 2000), http://www-gap.dcs.st-and.ac.uk/$\sim$gap."
MR2068084,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.3, 2002, http://www.gap-system.org."
MR3272389,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.7.5, http://www.gap-system.org, 2014."
MR3160726,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4.12. http://www.gap-system.org (2008). Accessed 17 Dec 2008"
MR3096579,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12, 2008, http://www.gap-system.org."
MR3390992,"GAP–Groups, Algorithms, and Programming. Version 4.7.6. The GAP Group, 2014. URL: http://www.gap-system.org/."
MR2228654,"Bettina Eick, Werner Nickel, Polycyclic, 2000, A GAP package, see [GAP05]."
MR2228654,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2005; http://www.gap-system.org."
MR2172713,"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4. Available from World Wide Web (http://www.gap-system.org/), 2004."
MR2232860,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2005 (http://www.gap-system.org)."
MR2275096,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4; 2005 (http://www.gap-system.org)."
MR2665772,"The GAP Group, GAP—Groups, Algorithms, and Programming, http://www.gap-system.org."
MR2494367,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10; 2007 http://www.gap-system.org."
MR2673749,"The GAP group, GAP - groups, algorithms, and programming, http://www.gap-system.org."
MR2777023,"The GAP Group, GAP—Groups, Algorithms, and Programming, http://www.gap-system.org."
MR3248732,"GAP Group, GAP—Groups, algorithms, programming (2013) Available at http://www.gap-system.org"
MR4171568,"The GAP group, GAP: Groups, algorithms and programming (2018) Version 4.9.1 Available at http://www.gap-system.org/"
MR4118001,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.10.2; 2019 (https://www.gap-system.org)."
MR2727308,"The GAP Group, GAP (Groups, Algorithms, and Programming), version 4.4.12 (2008), http://www.gap-system.org."
MR2727308,"G. Nagy and P. Vojtěchovský, LOOPS: Computing with quasigroups and loops in GAP, version 2.0.0 (2008), http://www.math.du.edu/loops/. 
MR2268821"
MR1625479,"M. Schönert et al., `GAP - Groups, algorithms and programming', RWTH Aachen: Lehrstuhl D für Mathematik, 5th edn, 1995 (http://www.gap.dsc.st-and.ac.uk/gap)."
MR2142090,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.3 (2002) http://www.gap-system.org."
MR2228649,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2004."
MR2377115,"The GAP group, `GAP–groups, algorithms and programming, version 4.3', 2002, http://www.gap-system.org."
MR2960227,"`GAP—groups, algorithms, programming—a system for computational discrete algebra', http://www.gap-system.org/."
MR3259608,"M. Neunhöffer and Á. Seress. GAP package recog, version 1.2. Technical report, 2012. URL (http://www.gap-system.org/Packages/recog.html)."
MR1941689,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.1; Aachen, St Andrews, 1999. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)"
MR3397421,"GAP - Groups, Algorithms, Programming - a system for computational discrete algebra, Version 4.6.5, 2013, http://www.gap-system.org."
MR3833475,"GAP – Groups, Algorithms, Programming – a system for computational discrete algebra, Version 4.6.5, 2013, http://www.gap-system.org."
MR3706862,"GAP Groups, Algorithms, Programming – a system for computational discrete algebra, Version 4.6.5, 2013, http://www.gap-system.org."
MR3707573,"The GAP Group, GAP – Groups, algorithms, and programming, Version 4.7.2; 2013: http://www.gap-system.org."
MR2810606,"Ellis, G. (2010). HAP-Homological Algebra Programming. A refreed GAP 4 package (GAP Group 2008), available at http://hamilton.nuigalway.ie/Hap/www. 
MR2478414"
MR2810606,"The GAP Group. (2008). GAP-Groups, Algorithms and Programming, Version 4.11. Available at: http://www.gap-system.org."
MR2997458,"The GAP Group, GAP-Groups, Algorithms and Programming, version 4.4, http://ww.gap-system.org, 2005."
MR3080204,"G. Ellis, HAP-Homological Algebra Programming (2010), A refreed GAP 4 package (GAP Group 2008), available at http://hamilton.nuigalway.ie/Hap/www. 
MR2478414"
